drugName,condition,review,rating
Lorcaserin,Weight Loss,"I tried taking it for a total of 5 days and was so dizzy I was bouncing off the walls. I felt very lethargic and couldn't even function. I'd wake up in the morning feeling like I was 90 with all the aches and pains. And worst of all, it didn't do anything to curb my appetite! In fact, it made me hungrier! I went back to my old buddy, Phentermine.",1
Epiduo,Acne,I was having severe acne on my cheeks and had to see a dermatologist. The following was my treatment plan: Aczone cream in the morning and Epiduo at night. I was also given Doryx pills to take in the morning. My skin immediately started to get very dry but I used Cetaphil moisturizer. I also used Cetaphil foam face wash twice a day. I only had some very slight burning the first 2 weeks. My acne was so bad I wanted to cry and hide my face from everyone but my doctors treatment plan worked great and I am so happy.,10
Ulipristal,Emergency Contraception,"I just wanted to share my experience in case any of you are experiencing a delayed period after taking EllaOne. I had unprotected sex on the 8th of November, and I was on the pill but I really hadn't taken it properly that month, I got EllaOne and took it about two hours after the unprotected sex. I was due my period the following Monday but it never came. I had extremely light spotting and cramps, I freaked myself out thinking this was implantation bleeding and took multiple tests which were all negative. My period for that month didn't come, even though the doctor I went to about a separate issue said this wasn't possible. My period finally came today, 3 weeks and 4 days late! try not to worry, I drove myself crazy about it for no reason!",6
Modafinil,Depression,"It is great and all for giving you laser focus, however after the drug wears off from my system I notice that I get a little bit of a crash. I get depressive symptoms that's why I don't take it anymore.",2
Rifaximin,Irritable Bowel Syndrome,"I used the 14 day dosage...for those 14 days, I suffered extreme gas & bloating with gas pains from my rectum into my shoulders, I was absolutely miserable but carried through, completing the prescription...for the next month or so, I continued to suffer with the extreme gas and pains, which gradually subsided...I suffered with occasional diarrhea, but rare and some constipation, till it all settled down. I have now been 2+ months with normally formed bowel movements. I do rarely have some urgency but the stools are formed, not liquid. This medication has been life changing for me...I can now sit and enjoy a meal with friends and family without constantly having on my mind that I am, at any point, going to need to rush to the bathroom.",9
Rebif,Multiple Sclerosis,"I was diagnosed with MS almost a year and half ago. I was on Avonex, but symptoms seems to worsen, so my Doctor switched me to Rebif. I wish I had taken this medication from the beginning! I love love love this injection! I have been on Rebif for almost a month now and can already tell a difference. I have not had any symptoms in 4 days! Which is really good for me, because I always have symptoms everyday. I recommend this to everyone! I have had no side effects, but headache. Its been great for me. No injection irritations at all.",10
Metoclopramide,Migraine,Went to the ER for high blood pressure and was having a bad headache as well. Was given regalin cocktail and afterwards I have had the worse anxiety ever. I wanted to rip the I've out of my arm and run out of there. I will never let them give me those meds again.,1
Chlorpheniramine / hydrocodone,Cough,"After 15 years of vasomotor rhinitis, which caused chronic coughing, I was finally prescribed something that helped me sleep without waking up 10 times coughing each night. I don't notice any hangover or grogginess the next day. My only complaint is that it is not covered by my insurance and is a little expensive.",10
Microgestin Fe 1 / 20,Birth Control,"I've been on birth control for over 5 years. After my original was recalled I got started on this. I got my period 2 times a month which was normal to me because my old birth control did it do me at the beginning. Well I'm 5 months into it and I'm now getting my period almost 3 times a month. It doesn't last as long as a normal period but its enough to give me bad cramps. Not only that, but I'm ALWAYS tired and have mood swings. The only good side effect would be I haven't had any acne on my back (it might also be because of the weather now). Overall, I'm quitting this birth control.",3
ParaGard,Birth Control,"I had my paragard inserted about 7 months ago, and insertion wouldn't have been so bad if I hadn't still be sore from ripping during childbirth. With paragard my period started lasting up to 9-10 days with heavy bleeding. I also started to have pain during sex. About 2 weeks ago I developed eczema on my hand. Today I had the paragard removed and felt instantly better. According to the ob/gyn I may have a copper allergy because my cervix was red and inflamed. She said the eczema could have also been a result of it too. So in summary, paragard does work in preventing pregnancy, but make sure you don't have a copper allergy before hand, and remember that every woman is going to react to it differently.",3
Claravis,Acne,"I'm 20 years old and am on my third month of Claravis. Since being on the medicine my face is worse than it's ever been before. My acne wasn't severe to begin with, although it was scarring in certain areas. I keep hoping it will get better, but it hasn't yet. I've tried everything else there is to take so I feel like this is my only option.",5
